product_id,name,category,current_price,cost,competitor_prices,competitor_names,sales_rank,rating,review_count,last_updated
PROD-037,Steve Jobs Biography by Walter Isaacson,Books,240.69,140.99,"243.92,263.4,209.48,247.15,242.86","CompF,CompB,CompE,CompC,CompA",5170,4.8,617,2026-03-08T14:31:26.348925Z
PROD-038,Sapiens: A Brief History of Humankind by Yuval Noah Harari,Books,300.09,168.26,"314.79,318.86,322.08,342.35,262.74","CompG,CompB,CompE,CompC,CompF",4104,4.6,353,2026-03-08T14:31:26.348937Z
PROD-039,Lonely Planet India Travel Guide 2024 Edition,Books,414.54,230.63,"432.25,365.78,443.71,397.4,383.71,475.52,470.36","CompD,CompC,CompG,CompB,CompE,CompF,CompA",6788,4.1,261,2026-03-08T14:31:26.348952Z
PROD-040,The Art Book: Big Ideas Simply Explained - DK,Books,242.12,148.32,"250.87,210.69,219.34,215.05","CompG,CompA,CompD,CompC",4814,3.6,427,2026-03-08T14:31:26.348963Z
PROD-041,Lego Classic Creative Building Blocks 484 Pieces,Toys,1061.1,605.46,"1195.69,1004.04,922.22,978.76,954.27,1080.65","CompA,CompD,CompG,CompC,CompF,CompE",7385,4.3,80,2026-03-08T14:31:26.348978Z
PROD-042,Funskool Puzzle 1000 Pieces Jigsaw for Adults,Toys,1787.55,1040.7,"2001.7,2004.9,1807.17","CompC,CompG,CompF",8796,4.5,447,2026-03-08T14:31:26.348988Z
PROD-043,Hot Wheels Marvel Avengers Action Figure Set,Toys,2155.19,1315.1,"2422.13,1938.48,2095.34,2361.22","CompC,CompE,CompA,CompF",5019,4.7,761,2026-03-08T14:31:26.348999Z
PROD-044,Hasbro Monopoly Classic Board Game Family Edition,Toys,1098.62,660.79,"1202.01,1070.23,950.98,953.02,1006.1,1011.0","CompE,CompD,CompB,CompG,CompC,CompA",2176,4.6,222,2026-03-08T14:31:26.349016Z
PROD-045,Dimpy Stuff Teddy Bear Soft Toy 60cm Brown,Toys,581.17,331.08,"616.07,535.0,566.97,566.0,631.51","CompB,CompA,CompE,CompG,CompF",7006,4.6,283,2026-03-08T14:31:26.349028Z
PROD-046,SYMA X5C RC Drone Quadcopter with HD Camera,Toys,1074.83,634.61,"1038.4,1058.53,1091.1,1096.09,1173.22","CompA,CompB,CompE,CompG,CompD",4056,4.8,583,2026-03-08T14:31:26.349042Z
PROD-047,Faber-Castell Art Set 60 Pieces Drawing Kit,Toys,1716.64,1065.7,"1672.81,1614.3,1604.51,1537.63,1902.77,1527.8","CompD,CompB,CompA,CompF,CompC,CompG",3661,4.2,444,2026-03-08T14:31:26.349057Z
PROD-048,Fisher-Price Learning Toy for Kids 2-5 Years,Toys,1860.33,1038.56,"1654.47,1773.46,1849.31,2091.88","CompE,CompC,CompG,CompF",8889,5.0,508,2026-03-08T14:31:26.349068Z
PROD-049,Little Tikes Outdoor Slide and Swing Combo,Toys,1471.36,885.56,"1501.63,1584.59,1528.16,1265.3,1670.15,1664.47,1546.98","CompB,CompG,CompC,CompD,CompF,CompE,CompA",6145,4.2,418,2026-03-08T14:31:26.349083Z
PROD-050,Barbie Dreamhouse Dollhouse 3 Floors with Furniture,Toys,2037.43,1234.64,"2036.1,1751.46,2230.51","CompD,CompA,CompC",7568,5.0,288,2026-03-08T14:31:26.349093Z
